num1,num2,result,class
-132,-248,116,2
398,76,322,2
308,-168,476,2
-439,422,-17,1
281,419,700,1
-489,18,-507,2
90,-283,-193,1
-69,159,90,1
173,295,468,1
-39,344,305,1
-285,248,-37,1
210,-207,3,1
247,9,256,1
159,-354,513,2
-48,-162,114,2
-406,37,-443,2
425,422,847,1
312,-164,148,1
80,271,351,1
-151,175,-326,2
249,-391,-142,1
458,-256,202,1
384,379,763,1
-433,-299,-134,2
467,343,124,2
-438,329,-109,1
-291,223,-514,2
180,432,612,1
228,60,168,2
442,-80,522,2
-476,-82,-558,1
31,183,-152,2
2,-299,301,2
-406,-213,-193,2
122,-43,79,1
369,-16,385,2
-379,158,-221,1
-314,377,-691,2
-395,-294,-689,1
133,70,203,1
143,-424,567,2
394,193,587,1
463,-401,864,2
-240,-41,-281,1
-300,16,-284,1
-399,-232,-631,1
-449,368,-81,1
105,-465,-360,1
354,-327,27,1
-182,335,153,1
487,495,-8,2
-100,-152,52,2
-187,356,169,1
232,-160,392,2
-265,297,-562,2
244,274,-30,2
-251,-392,-643,1
228,230,458,1
-166,-291,125,2
0,-322,322,2
-305,253,-52,1
267,-215,482,2
145,400,545,1
253,183,70,2
-297,70,-227,1
148,290,438,1
-130,-211,81,2
334,-346,680,2
126,-353,-227,1
48,-178,226,2
126,406,532,1
-448,-259,-189,2
-335,366,-701,2
466,254,212,2
-484,-87,-397,2
388,418,806,1
310,-204,514,2
354,-385,739,2
-307,-334,-641,1
-67,-145,-212,1
-238,-421,183,2
-125,160,-285,2
-106,-311,205,2
-323,-194,-129,2
491,254,745,1
-65,228,163,1
214,472,686,1
-37,-187,-224,1
401,326,75,2
-425,342,-767,2
8,46,-38,2
-7,50,-57,2
431,470,901,1
276,-74,350,2
220,-203,423,2
-372,-30,-402,1
281,-36,245,1
34,-494,-460,1
206,427,-221,2
-284,-288,-572,1
-207,-175,-32,2
-326,-116,-210,2
-147,-114,-33,2
-50,60,10,1
61,144,-83,2
459,-468,-9,1
-39,283,-322,2
-11,-23,-34,1
468,-352,820,2
-44,226,-270,2
-173,395,-568,2
-73,-210,-283,1
359,-499,-140,1
144,-66,210,2
437,84,521,1
-390,-124,-266,2
-8,234,226,1
-221,309,-530,2
28,159,187,1
-239,-181,-420,1
-93,-7,-100,1
349,-288,637,2
-375,244,-619,2
439,465,904,1
338,305,33,2
280,-159,121,1
414,-198,216,1
-273,-384,111,2
312,328,-16,2
190,208,-18,2
102,-484,-382,1
49,-42,7,1
64,145,-81,2
-243,-496,253,2
114,432,-318,2
-93,429,336,1
-54,161,107,1
108,-277,385,2
-390,476,-866,2
-214,-283,69,2
-346,474,-820,2
93,-184,-91,1
-179,-326,147,2
-344,148,-196,1
302,-416,718,2
-161,-300,139,2
-299,-352,53,2
178,-278,-100,1
299,27,272,2
165,-298,463,2
-139,-398,259,2
-498,102,-396,1
302,-107,195,1
-418,40,-458,2
369,156,525,1
212,-19,231,2
-129,-135,6,2
-127,447,-574,2
325,427,752,1
15,220,235,1
-402,62,-464,2
-397,-500,-897,1
-342,457,-799,2
-289,497,208,1
306,-200,506,2
-204,-283,-487,1
-88,-147,59,2
31,197,228,1
-122,480,-602,2
-175,78,-253,2
155,-7,148,1
-7,-398,-405,1
-108,-142,-250,1
369,411,780,1
246,-23,269,2
2,11,-9,2
-41,-265,224,2
243,-225,18,1
193,-1,194,2
463,-494,957,2
160,493,-333,2
303,460,763,1
-155,206,51,1
121,-366,487,2
-124,-214,-338,1
-165,-471,-636,1
122,166,-44,2
-45,-255,-300,1
426,252,678,1
275,101,376,1
123,-321,444,2
496,270,766,1
111,94,17,2
450,-486,936,2
121,285,-164,2
191,445,636,1
36,202,238,1
453,83,370,2
406,-182,224,1
-111,-431,-542,1
-473,-337,-810,1
-182,-172,-10,2
166,477,643,1
-253,49,-204,1
314,-364,-50,1
297,-438,-141,1
-2,265,263,1
-295,171,-466,2
96,429,525,1
33,-352,385,2
-88,483,395,1
-363,192,-555,2
289,165,454,1
-492,-180,-312,2
-47,312,265,1
120,205,325,1
-301,-321,-622,1
-316,15,-301,1
-468,-72,-540,1
312,-70,382,2
-279,196,-83,1
410,31,441,1
268,433,701,1
130,-446,576,2
43,421,464,1
-53,-184,131,2
-206,-93,-113,2
-292,33,-259,1
17,-332,349,2
-148,-217,69,2
428,444,-16,2
89,339,-250,2
219,324,-105,2
-302,256,-46,1
-90,348,258,1
-335,-58,-393,1
126,-172,-46,1
-268,-360,92,2
67,-227,294,2
-398,219,-179,1
-418,-53,-471,1
36,-188,224,2
443,-426,869,2
-70,179,109,1
314,-303,11,1
-288,67,-221,1
-124,-229,105,2
87,315,-228,2
331,357,-26,2
335,-391,726,2
-253,-311,-564,1
-382,-340,-42,2
-263,-38,-301,1
-244,-278,34,2
430,192,238,2
-328,126,-454,2
243,3,246,1
497,-477,974,2
425,325,750,1
293,-348,-55,1
462,-195,267,1
496,242,738,1
-440,-417,-857,1
32,-421,-389,1
477,142,335,2
355,70,425,1
-176,441,265,1
197,-477,674,2
-499,-55,-554,1
404,3,407,1
-198,-309,111,2
476,35,511,1
-221,-242,21,2
-392,-11,-403,1
-39,-410,371,2
308,146,454,1
328,287,615,1
-430,112,-542,2
82,296,-214,2
466,-43,509,2
382,157,225,2
-464,-325,-139,2
-477,228,-249,1
124,-77,201,2
-409,125,-534,2
